filename, ID, gain (dB), Voltage, Version
20190701T154440.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T154640.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T154840.wav,0423322908248198,0.00,3.80,2019-05-28
20190701T155040.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T155240.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T155440.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T155640.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T155840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T160040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T160240.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T160440.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T160640.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T160840.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T161040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T161240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T161440.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T161640.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T161840.wav,0423322908248198,0.00,3.66,2019-05-28
20190701T162040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T162240.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T162440.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T162640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T162840.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T163040.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T163240.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T163440.wav,0423322908248198,0.00,3.68,2019-05-28
20190701T163640.wav,0423322908248198,0.00,3.63,2019-05-28
20190701T163840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T164040.wav,0423322908248198,0.00,3.80,2019-05-28
20190701T164240.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T164440.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T164640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T164840.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T165040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T165240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T165440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T165640.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T165840.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T170040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T170240.wav,0423322908248198,0.00,3.78,2019-05-28
20190701T170440.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T170640.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T170840.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T171040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T171240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T171440.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T171640.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T171840.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T172040.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T172240.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T172440.wav,0423322908248198,0.00,3.68,2019-05-28
20190701T172640.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T172840.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T173040.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T173240.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T173440.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T173640.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T173840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T174040.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T174240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T174440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T174640.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T174840.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T175040.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T175240.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T175440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T175640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T175840.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T180040.wav,0423322908248198,0.00,3.68,2019-05-28
20190701T180240.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T180440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T180640.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T180840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T181040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T181240.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T181440.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T181640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T181840.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T182040.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T182240.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T182440.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T182640.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T182840.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T183040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T183240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T183440.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T183640.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T183840.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T184040.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T184240.wav,0423322908248198,0.00,3.72,2019-05-28
