filename, ID, gain (dB), Voltage, Version
20190708T185540.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T185740.wav,0423322908248198,2.05,3.50,2019-05-28
20190708T185940.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T190140.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T190340.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T190540.wav,0423322908248198,2.05,3.57,2019-05-28
20190708T190740.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T190940.wav,0423322908248198,2.05,3.51,2019-05-28
20190708T191140.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T191340.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T191540.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T191740.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T191940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T192140.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T192340.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T192540.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T192740.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T192940.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T193140.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T193340.wav,0423322908248198,2.05,3.57,2019-05-28
20190708T193540.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T193740.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T193940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T194140.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T194340.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T194540.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T194740.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T194940.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T195140.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T195340.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T195540.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T195740.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T195940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T200140.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T200340.wav,0423322908248198,2.05,3.57,2019-05-28
20190708T200540.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T200740.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T200940.wav,0423322908248198,2.05,3.72,2019-05-28
