filename, Voltage, Version,Notes on when things start to get bad
20220525T023732_2614231121589262_2.0.wav,4.26,1/5/2022,
20220525T024732_2614231121589262_2.0.wav,4.27,1/5/2022,
20220525T025732_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T030732_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T031732_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T032732_2614231121589262_2.0.wav,4.25,1/5/2022,
20220525T033732_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T034732_2614231121589262_2.0.wav,4.25,1/5/2022,
20220525T035732_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T040732_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T041733_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T042733_2614231121589262_2.0.wav,4.21,1/5/2022,
20220525T043733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T044733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T045733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T050733_2614231121589262_2.0.wav,4.21,1/5/2022,
20220525T051733_2614231121589262_2.0.wav,4.25,1/5/2022,
20220525T052733_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T053733_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T054733_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T055733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T060733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T061733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T062733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T063733_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T064733_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T065733_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T070733_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T071733_2614231121589262_2.0.wav,4.2,1/5/2022,
20220525T072733_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T073734_2614231121589262_2.0.wav,4.22,1/5/2022,
20220525T074734_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T075734_2614231121589262_2.0.wav,4.23,1/5/2022,
20220525T080734_2614231121589262_2.0.wav,4.24,1/5/2022,
20220525T081734_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T082734_2614231121589262_2.0.wav,4.18,1/5/2022,
20220525T083734_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T084734_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T085734_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T090734_2614231121589262_2.0.wav,4.18,1/5/2022,
20220525T091734_2614231121589262_2.0.wav,4.18,1/5/2022,
20220525T092734_2614231121589262_2.0.wav,4.2,1/5/2022,
20220525T093734_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T094734_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T095734_2614231121589262_2.0.wav,4.18,1/5/2022,
20220525T100734_2614231121589262_2.0.wav,4.2,1/5/2022,
20220525T101734_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T102734_2614231121589262_2.0.wav,4.17,1/5/2022,
20220525T103734_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T104735_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T105735_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T110735_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T111735_2614231121589262_2.0.wav,4.2,1/5/2022,
20220525T112735_2614231121589262_2.0.wav,4.18,1/5/2022,
20220525T113735_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T114735_2614231121589262_2.0.wav,4.17,1/5/2022,
20220525T115735_2614231121589262_2.0.wav,4.19,1/5/2022,
20220525T120735_2614231121589262_2.0.wav,4.13,1/5/2022,
20220525T121735_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T122735_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T123735_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T124735_2614231121589262_2.0.wav,4.13,1/5/2022,
20220525T125735_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T130735_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T131736_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T132736_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T133736_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T134736_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T135736_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T140736_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T141736_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T142736_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T143736_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T144736_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T145736_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T150736_2614231121589262_2.0.wav,4.06,1/5/2022,
20220525T151736_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T152736_2614231121589262_2.0.wav,4.13,1/5/2022,
20220525T153736_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T154736_2614231121589262_2.0.wav,4.14,1/5/2022,
20220525T155736_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T160737_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T161737_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T162737_2614231121589262_2.0.wav,4.07,1/5/2022,
20220525T163737_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T164737_2614231121589262_2.0.wav,4.06,1/5/2022,
20220525T165737_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T170737_2614231121589262_2.0.wav,4.08,1/5/2022,
20220525T171737_2614231121589262_2.0.wav,4.13,1/5/2022,
20220525T172737_2614231121589262_2.0.wav,4.13,1/5/2022,
20220525T173737_2614231121589262_2.0.wav,4.16,1/5/2022,
20220525T174737_2614231121589262_2.0.wav,4.15,1/5/2022,
20220525T175737_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T180737_2614231121589262_2.0.wav,4.08,1/5/2022,
20220525T181737_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T182738_2614231121589262_2.0.wav,4.07,1/5/2022,
20220525T183738_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T184738_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T185738_2614231121589262_2.0.wav,4.07,1/5/2022,
20220525T190738_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T191738_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T192738_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T193738_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T194738_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T195738_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T200738_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T201738_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T202738_2614231121589262_2.0.wav,4.08,1/5/2022,
20220525T203739_2614231121589262_2.0.wav,4.07,1/5/2022,
20220525T204739_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T205739_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T210739_2614231121589262_2.0.wav,4.08,1/5/2022,
20220525T211739_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T212739_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T213739_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T214739_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T215739_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T220739_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T221739_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T222739_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T223739_2614231121589262_2.0.wav,4.09,1/5/2022,
20220525T224740_2614231121589262_2.0.wav,4.05,1/5/2022,
20220525T225740_2614231121589262_2.0.wav,4.12,1/5/2022,
20220525T230740_2614231121589262_2.0.wav,4.05,1/5/2022,
20220525T231740_2614231121589262_2.0.wav,4.03,1/5/2022,
20220525T232740_2614231121589262_2.0.wav,4.1,1/5/2022,
20220525T233740_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T234740_2614231121589262_2.0.wav,4.11,1/5/2022,
20220525T235740_2614231121589262_2.0.wav,4.11,1/5/2022,
20220526T000740_2614231121589262_2.0.wav,4.09,1/5/2022,
20220526T001740_2614231121589262_2.0.wav,4.06,1/5/2022,
20220526T002740_2614231121589262_2.0.wav,4.05,1/5/2022,
20220526T003741_2614231121589262_2.0.wav,4.07,1/5/2022,
20220526T004741_2614231121589262_2.0.wav,4.07,1/5/2022,
20220526T005741_2614231121589262_2.0.wav,4.03,1/5/2022,
20220526T010742_2614231121589262_2.0.wav,3.98,1/5/2022,
20220526T011742_2614231121589262_2.0.wav,4.03,1/5/2022,
20220526T012743_2614231121589262_2.0.wav,4.03,1/5/2022,
20220526T013743_2614231121589262_2.0.wav,4.07,1/5/2022,
20220526T014743_2614231121589262_2.0.wav,4.08,1/5/2022,
20220526T015743_2614231121589262_2.0.wav,4.07,1/5/2022,
20220526T020743_2614231121589262_2.0.wav,4.12,1/5/2022,
20220526T021743_2614231121589262_2.0.wav,4.02,1/5/2022,
20220526T022743_2614231121589262_2.0.wav,4,1/5/2022,
